accessibility,population_acc1km_percentage_young,population_acc1km_percentage_female,population_acc1km_percentage_child,population_acc1km_percentage_middle,population_acc1km_percentage_elder,population_acc1km_percentage_male,population_acc1km_percentage,population_acc1km_percentage_BuiltUp,population_acc1km_percentage_Other
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
3.68,0.07,0.1,0.05,0.04,0.05,0.1,0.2,0.2,0.0
5.63,3.45,6.17,2.38,1.99,3.8,5.45,11.61,11.61,0.0
5.72,0.25,0.78,0.17,0.26,0.76,0.66,1.44,1.44,0.0
6.1,10.65,13.28,6.39,5.06,4.25,13.06,26.34,26.34,0.0
6.46,0.14,0.24,0.09,0.09,0.15,0.23,0.47,0.47,0.0
6.58,0.04,0.05,0.03,0.02,0.02,0.05,0.11,0.11,0.0
8.9,32.03,45.46,23.2,14.51,18.92,43.21,88.67,88.67,0.0
8.91,1.36,1.95,0.55,0.83,1.24,2.03,3.98,3.98,0.0
9.13,1.1,2.61,1.04,1.06,1.99,2.59,5.2,5.2,0.0
9.51,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.05,0.0
10.38,1.09,3.38,0.76,1.12,3.31,2.9,6.28,6.28,0.0
10.44,0.29,0.38,0.17,0.14,0.17,0.39,0.77,0.77,0.0
10.56,3.09,4.03,2.19,1.4,1.35,4.0,8.03,8.03,0.0
10.66,1.86,3.48,1.48,1.27,2.07,3.2,6.68,6.68,0.0
11.32,1.49,1.78,1.05,0.58,0.54,1.88,3.66,3.66,0.0
11.41,11.67,16.11,8.04,6.33,6.32,16.25,32.36,32.36,0.0
11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
12.25,6.48,10.85,5.8,4.82,4.56,10.8,21.65,21.65,0.0
12.3,3.12,7.19,2.7,2.62,5.54,6.79,13.98,13.98,0.0
12.55,7.26,8.92,4.25,2.77,3.55,8.91,17.83,17.83,0.0
12.65,7.28,8.81,3.99,2.67,3.43,8.55,17.36,17.36,0.0
12.73,7.26,11.71,4.57,3.92,7.32,11.36,23.07,23.07,0.0
12.76,1.83,2.73,1.08,0.96,1.43,2.57,5.3,5.3,0.0
13.73,0.24,0.44,0.2,0.18,0.27,0.45,0.89,0.89,0.0
14.57,0.32,0.41,0.18,0.15,0.17,0.41,0.83,0.83,0.0
14.8,7.05,9.2,4.92,3.58,3.06,9.4,18.61,18.61,0.0
